payment_id,amount_inr,status,failure_reason,attempts,customer_type,expected_recovery,recommended_action,created_at
PAY1113,2499,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-19 20:00:00
PAY1114,2499,FAILED,TIMEOUT,1,EXISTING,0,RETRY,2026-08-20 00:00:00
PAY1115,999,FAILED,REPEATED_FAILURE,3,EXISTING,1,ESCALATE,2026-08-20 04:00:00
PAY1116,499,FAILED,NETWORK_ERROR,1,NEW,1,RETRY,2026-08-20 08:00:00
PAY1117,299,FAILED,REPEATED_FAILURE,4,NEW,0,ESCALATE,2026-08-20 12:00:00
PAY1118,799,FAILED,INSUFFICIENT_FUNDS,1,EXISTING,0,REMIND,2026-08-20 16:00:00
PAY1119,299,FAILED,ALREADY_RECOVERED,3,EXISTING,0,STOP,2026-08-20 20:00:00
PAY1120,499,FAILED,REPEATED_FAILURE,3,EXISTING,0,ESCALATE,2026-08-21 00:00:00
PAY1121,499,FAILED,TIMEOUT,1,NEW,0,RETRY,2026-08-21 04:00:00
PAY1122,2499,FAILED,INSUFFICIENT_FUNDS,2,NEW,1,REMIND,2026-08-21 08:00:00
PAY1123,999,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-21 12:00:00
PAY1124,799,FAILED,NETWORK_ERROR,1,NEW,0,RETRY,2026-08-21 16:00:00
PAY1125,4999,FAILED,ALREADY_RECOVERED,2,EXISTING,0,STOP,2026-08-21 20:00:00
PAY1126,12999,FAILED,INSUFFICIENT_FUNDS,1,EXISTING,1,REMIND,2026-08-22 00:00:00
PAY1127,999,FAILED,INSUFFICIENT_FUNDS,2,EXISTING,0,REMIND,2026-08-22 04:00:00
PAY1128,499,FAILED,NETWORK_ERROR,1,EXISTING,1,RETRY,2026-08-22 08:00:00
PAY1129,1499,FAILED,PAYMENT_METHOD_DECLINED,1,EXISTING,1,REMIND,2026-08-22 12:00:00
PAY1130,3999,FAILED,NETWORK_ERROR,1,EXISTING,1,RETRY,2026-08-22 16:00:00
PAY1131,3999,FAILED,REPEATED_FAILURE,4,NEW,0,ESCALATE,2026-08-22 20:00:00
PAY1132,1499,FAILED,TIMEOUT,1,NEW,0,RETRY,2026-08-23 00:00:00
PAY1133,8999,FAILED,REPEATED_FAILURE,3,NEW,0,ESCALATE,2026-08-23 04:00:00
PAY1134,999,FAILED,INSUFFICIENT_FUNDS,1,NEW,0,REMIND,2026-08-23 08:00:00
PAY1135,8999,FAILED,TIMEOUT,1,NEW,1,RETRY,2026-08-23 12:00:00
PAY1136,1499,FAILED,NETWORK_ERROR,1,NEW,1,RETRY,2026-08-23 16:00:00
PAY1137,2499,FAILED,TIMEOUT,1,EXISTING,0,RETRY,2026-08-23 20:00:00
PAY1138,999,FAILED,REPEATED_FAILURE,4,NEW,0,ESCALATE,2026-08-24 00:00:00
PAY1139,4999,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-24 04:00:00
PAY1140,299,FAILED,ALREADY_RECOVERED,3,EXISTING,0,STOP,2026-08-24 08:00:00
PAY1141,1499,FAILED,TIMEOUT,1,EXISTING,1,RETRY,2026-08-24 12:00:00
PAY1142,3999,FAILED,INSUFFICIENT_FUNDS,1,EXISTING,0,REMIND,2026-08-24 16:00:00
PAY1143,299,FAILED,ALREADY_RECOVERED,3,NEW,0,STOP,2026-08-24 20:00:00
PAY1144,999,FAILED,PAYMENT_METHOD_DECLINED,1,NEW,0,REMIND,2026-08-25 00:00:00
PAY1145,999,FAILED,PAYMENT_METHOD_DECLINED,1,NEW,1,REMIND,2026-08-25 04:00:00
PAY1146,1499,FAILED,PAYMENT_METHOD_DECLINED,1,NEW,0,REMIND,2026-08-25 08:00:00
PAY1147,799,FAILED,NETWORK_ERROR,1,NEW,0,RETRY,2026-08-25 12:00:00
PAY1148,999,FAILED,ALREADY_RECOVERED,3,EXISTING,0,STOP,2026-08-25 16:00:00
PAY1149,8999,FAILED,NETWORK_ERROR,1,EXISTING,1,RETRY,2026-08-25 20:00:00
